sweep,kind,channel,characteristic,column,unit,at_design,min,max,range,at_start,at_end
05_steer_bump,steer,rc_lateral,Roll-centre lateral position,roll_center_y,mm,-1.195311995161319e-06,-14.16922565184467,14.169230651790542,28.338456303635212,14.169230651790542,-14.16922565184467
05_steer_bump,steer,fvic_y,FVIC lateral (y),fvic_y_left,mm,-1606.5498251188988,-1699.3815547838296,-1451.1457151279535,248.23583965587613,-1451.1457151279535,-1699.3815547838296
05_steer_bump,steer,fvic_z,FVIC height (z),fvic_z_left,mm,-371.1390131883973,-373.36419428442224,-368.1961350575984,5.168059226823857,-373.36419428442224,-368.1961350575984
05_steer_bump,steer,fvsa,FVSA length,fvsa_length_left,mm,2098.2504306371206,1918.5275863093716,2198.688505325121,280.1609190157492,1918.5275863093716,2198.688505325121
05_steer_bump,steer,rack,Rack displacement,rack_displacement,mm,2.373524239374092e-07,-34.99999991167175,34.99999979001947,69.99999970169122,-34.99999991167175,34.99999979001947
05_steer_bump,steer,ackermann,Ackermann,ackermann_percent,%,-1050.4055326236728,-1050.4055326236728,408.3087119472789,1458.7142445709517,80.29855370794897,80.29848805409381
05_steer_bump,steer,steering_ratio,Steering ratio (rack),steer_per_rack_abs,deg/mm,0.635236087087264,0.6126348218447689,0.8402354843135623,0.2276006624687934,0.8402354843135623,0.6126348218447689
06_steer_droop,steer,camber,Camber,camber_left,deg,-0.0482621647396005,-3.85928786278164,6.930897791663433,10.790185654445073,6.930897791663433,-3.85928786278164
06_steer_droop,steer,caster,Caster,caster_left,deg,10.001378447400196,9.99959983850913,10.00257778958996,0.002977951080829655,9.99959983850913,10.00257778958996
06_steer_droop,steer,toe,Toe (positive = toe-in),toe_angle_left,deg,0.0166467301669409,-28.52298947496299,26.08209307283338,54.60508254779637,-28.52298947496299,26.08209307283338
06_steer_droop,steer,scrub_signed,Scrub radius (signed lateral),scrub_radius_signed_left,mm,-1.581736022343703,-2.1990151183360367,-0.9964315132561632,1.2025836050798735,-2.1990151183360367,-0.9964315132561632
06_steer_droop,steer,trail,Mechanical trail,mechanical_trail_left,mm,49.21636495254953,21.97266485363677,67.3865643797869,45.41389952615013,67.3865643797869,21.97266485363677
06_steer_droop,steer,half_track,Half track,half_track_left,mm,444.69599211859486,414.18576392718927,453.9974339654494,39.811670038260104,414.18576392718927,453.5860299632242
06_steer_droop,steer,track_change,Track change,track_change,mm,-17.69201423361835,-39.31154931335448,-17.69201423361835,21.61953507973613,-39.31154931335448,-39.31153772647633
06_steer_droop,steer,damper_length,Damper length,damper_length_left,mm,270.5442898443646,268.0111483168851,271.9529867635809,3.941838446695783,268.0111483168851,271.9529867635809
06_steer_droop,steer,rc_height,Roll-centre height,roll_center_z,mm,75.99249606874446,70.64511185105603,75.99249606874446,5.347384217688429,70.64511185105603,70.64511581214025
06_steer_droop,steer,rc_lateral,Roll-centre lateral position,roll_center_y,mm,-1.9292947968097e-06,-50.06874881860904,50.06873447722768,100.13748329583672,-50.06874881860904,50.06873447722768
06_steer_droop,steer,fvic_y,FVIC lateral (y),fvic_y_left,mm,4796.298934611392,4266.496332929835,6057.499202839267,1791.0028699094319,6057.499202839267,4266.496332929835
06_steer_droop,steer,fvic_z,FVIC height (z),fvic_z_left,mm,-1344.3848228785994,-1570.733053599751,-1244.217813204512,326.51524039523906,-1570.733053599751,-1244.217813204512
06_steer_droop,steer,fvsa,FVSA length,fvsa_length_left,mm,-4538.409082169392,-5843.551902126696,-3994.004855067812,1849.5470470588843,-5843.551902126696,-3994.004855067812
06_steer_droop,steer,rack,Rack displacement,rack_displacement,mm,0.0,-35.00000001071649,34.999999416538884,69.99999942725537,-35.00000001071649,34.999999416538884
06_steer_droop,steer,ackermann,Ackermann,ackermann_percent,%,95.76543821361321,-658.7092099148604,95.76543821361321,754.4746481284735,45.85372608297648,45.85361638630658
06_steer_droop,steer,steering_ratio,Steering ratio (rack),steer_per_rack_abs,deg/mm,0.7414712781577389,0.7373512597752458,0.9974788671307194,0.2601276073554736,0.9974788671307194,0.7621918301894941
08_damper_stroke,damper_stroke,damper_length,Damper length,damper_length_left,mm,242.8112989690939,212.8112989624174,272.8112988381067,59.999999875689326,212.8112989624174,272.8112988381067
08_damper_stroke,damper_stroke,wheel_travel_lr,Wheel travel (left),wheel_travel_left,mm,-3.958919080560008e-06,-59.520018350374585,58.03074045360427,117.55075880397885,58.03074045360427,-59.520018350374585
08_damper_stroke,damper_stroke,wheel_travel_lr,Wheel travel (right),wheel_travel_right,mm,-3.8564863302781305e-06,-59.520018233364254,58.0307405640383,117.55075879740255,58.0307405640383,-59.520018233364254
08_damper_stroke,damper_stroke,motion_ratio,Motion ratio (damper/wheel),motion_ratio_left,mm/mm,0.5094219800587609,0.5014425605372566,0.5236958827548271,0.022253322217570592,0.5236958827548271,0.5016096146003647
09_steer_in_roll,steer_in_roll,camber_lr,Camber (left),camber_left,deg,0.1210081611294477,-3.473584786230675,6.576312357915734,10.04989714414641,6.576312357915734,-3.473584786230675
09_steer_in_roll,steer_in_roll,camber_lr,Camber (right),camber_right,deg,-0.3252108132036695,-3.643915365541098,5.548357011750871,9.19227237729197,-3.643915365541098,5.548357011750871
09_steer_in_roll,steer_in_roll,caster_lr,Caster (left),caster_left,deg,9.996327548965334,9.996308541901302,9.99654457356962,0.0002360316683187591,9.99654457356962,9.996312562429283
09_steer_in_roll,steer_in_roll,caster_lr,Caster (right),caster_right,deg,10.010018806024362,10.008676201575446,10.012574737292203,0.0038985357167575785,10.008676201575446,10.012574737292203
09_steer_in_roll,steer_in_roll,toe_lr,Toe (left),toe_angle_left,deg,0.0105060389613366,-27.151506072411827,24.6203731928804,51.77187926529223,-27.151506072411827,24.6203731928804
09_steer_in_roll,steer_in_roll,toe_lr,Toe (right),toe_angle_right,deg,-0.0066188824274222,-25.546063664875728,22.72811685146778,48.274180516343506,22.72811685146778,-25.546063664875728
09_steer_in_roll,steer_in_roll,scrub_signed,Scrub radius (signed lateral),scrub_radius_signed_left,mm,-1.5988119488989878,-2.5040044958520085,-0.9522196129835194,1.551784882868489,-2.5040044958520085,-0.9522196129835194
09_steer_in_roll,steer_in_roll,trail,Mechanical trail,mechanical_trail_left,mm,49.2338033198436,17.49758201025786,74.33004345067376,56.8324614404159,74.33004345067376,17.49758201025786
09_steer_in_roll,steer_in_roll,half_track,Half track,half_track_left,mm,451.3420860883261,418.5091670235734,459.2974415571714,40.788274533597985,418.5091670235734,458.3106302615365
09_steer_in_roll,steer_in_roll,track_change,Track change,track_change,mm,-1.561320694232677,-21.95416808262098,-1.561320694232677,20.392847388388304,-21.95416808262098,-20.763782214731805
09_steer_in_roll,steer_in_roll,damper_length,Damper length,damper_length_left,mm,255.4757414792114,253.07063942687344,256.84931322703494,3.7786738001614992,253.07063942687344,256.84931322703494
09_steer_in_roll,steer_in_roll,rc_height,Roll-centre height,roll_center_z,mm,-98.1498431332347,-164.7106406585274,-72.06025005673852,92.65039060178889,-72.06025005673852,-164.7106406585274
09_steer_in_roll,steer_in_roll,rc_lateral,Roll-centre lateral position,roll_center_y,mm,940.3396605717536,800.2576507791472,1322.7581861451436,522.5005353659964,800.2576507791472,1322.7581861451436
09_steer_in_roll,steer_in_roll,body_roll,Body roll,roll,deg,-3.1687764130287994,-3.202642870444487,-3.168644891800967,0.03399797864352028,-3.1946055873821666,-3.202642870444487
09_steer_in_roll,steer_in_roll,rack,Rack displacement,rack_displacement,mm,-1.6951170778156668e-07,-34.99999990333376,34.99999989544128,69.99999979877504,-34.99999990333376,34.99999989544128
09_steer_in_roll,steer_in_roll,ackermann,Ackermann,ackermann_percent,%,-498247.2562750646,-498247.2562750646,1292.3580514266057,499539.6143264912,109.46891258619857,19.506845228892892
09_steer_in_roll,steer_in_roll,steering_ratio,Steering ratio (rack),steer_per_rack_abs,deg/mm,0.7059677691172672,0.6987156011498695,0.9348757352680026,0.23616013411813308,0.9348757352680026,0.7140589493418213
10_corner_ramp,roll_ramp_at_steer,camber_lr,Camber (left),camber_left,deg,4.908663841415728e-08,-3.47358484870761,4.908663841415728e-08,3.4735848977942485,4.908663841415728e-08,-3.47358484870761
10_corner_ramp,roll_ramp_at_steer,camber_lr,Camber (right),camber_right,deg,1.8315466557583272e-08,1.8315466557583272e-08,5.548359473678357,5.54835945536289,1.8315466557583272e-08,5.548359473678357
