fvsa_length,bump_steer,bump_scrub,joint_force,lower_wishbone_inboard_front.y,lower_wishbone_inboard_rear.y,lower_wishbone_inboard_front.z,lower_wishbone_inboard_rear.z,upper_wishbone_inboard_front.y,upper_wishbone_inboard_rear.y,upper_wishbone_inboard_front.z,upper_wishbone_inboard_rear.z,lower_wishbone_outboard.x,lower_wishbone_outboard.y,lower_wishbone_outboard.z,upper_wishbone_outboard.x,upper_wishbone_outboard.y,upper_wishbone_outboard.z,axle_outboard.x,axle_outboard.y,axle_outboard.z,axle_inboard.x,axle_inboard.y,axle_inboard.z,lower_wishbone_inboard_front.x,lower_wishbone_inboard_rear.x,upper_wishbone_inboard_front.x,upper_wishbone_inboard_rear.x,strut_top.x,strut_top.y,strut_top.z,strut_bottom.x,strut_bottom.y,strut_bottom.z,trackrod_outboard.x,trackrod_outboard.z,trackrod_outboard.y,trackrod_inboard.x,trackrod_inboard.z,trackrod_inboard.y
302809175.27365744,0.7256655112994956,0.44059026985238736,2902.3193823353713,107.20870242013346,107.20870242013346,160.0842395386942,160.0842395386942,267.3465024209861,267.3465024209861,463.4764885523847,463.4764885523847,14.679483099322347,472.11861386954075,158.94520425552062,-22.65423599826347,418.78212457129314,463.00394603095054,0.0,523.737,278.5,0.0,423.73699999999997,278.5,239.96396493418018,-37.15407474432946,152.48460517529134,-204.08292319857395,-34.29194164090768,347.85066820149086,452.83039065165667,-34.29194164090768,384.5323855965528,385.76293997903645,-125.1446630557167,454.7781095098956,430.087744476599,-230.82170516794437,445.4352834762034,215.09252680844497
275084465.55389166,0.5086229145666139,0.1205248352269942,3027.220922557217,102.13282135476956,102.13282135476956,161.58185543526105,161.58185543526105,272.753677405557,272.753677405557,463.76438061653545,463.76438061653545,14.749870558980772,473.97072661496173,158.37194439987732,-22.587321366701886,423.9924027739858,462.4589700904127,0.0,523.737,278.5,0.0,423.73699999999997,278.5,231.51242591363243,-246.80310306154496,107.41281637804106,-117.37623384836226,19.830416665382472,340.0235451170217,445.8380012498866,19.830416665382476,371.0565524690336,378.0188144083272,-123.76877403399146,456.6268917991384,432.25209498628146,-213.16372956335613,456.93929228900146,225.2936646321029
43255.12129973245,1.3233937009493086,0.02799385661184752,2775.1933353731224,112.70968748020977,112.70968748020977,167.32418891199455,167.32418891199455,267.2393811331542,267.2393811331542,468.25484757103777,468.25484757103777,14.682033188497176,474.27651473589395,158.9244354458586,-22.986869950375,424.6197585240117,465.71303217065315,0.0,523.737,278.5,0.0,423.73699999999997,278.5,241.12247546048525,-229.74297085737211,126.64095064839361,-178.5085258530357,-24.198263723900254,367.8180664674902,463.00484277594313,-24.198263723900254,397.3243467870803,404.29261720473227,-125.85226608997718,463.14368195210375,432.47275743157394,-229.13684784716682,443.97764130110323,148.7485745483812
101584524.03968503,0.01184703072709118,0.7745570429635745,3151.760467776755,103.2954422863115,103.2954422863115,160.09420562977954,160.09420562977954,227.59650547521534,227.59650547521534,462.4460842398914,462.4460842398914,14.58860951040888,474.20223477109164,159.68531024478526,-22.55904673188216,425.3252083646817,462.2286916693164,0.0,523.737,278.5,0.0,423.73699999999997,278.5,79.61300949848044,-241.35755599929038,129.73006227763628,-240.51263200378176,-81.57404689726017,309.2078135047909,449.27493135722654,-81.57404689726019,333.701385205233,411.16686367498477,-123.8928282962301,456.2565881541249,432.23287244942236,-195.89317368183663,456.4558771092105,231.0742479750826
266189438.54854342,0.17526944279106893,0.06163811464853331,2925.249802256003,100.60785255560897,100.60785255560897,160.0902017475826,160.0902017475826,278.2464176506247,278.2464176506247,462.1711615739862,462.1711615739862,14.779814622191308,471.5246705565499,158.12806957562955,-22.461939800636802,416.90536693390106,461.4378191806967,0.0,523.737,278.5,0.0,423.73699999999997,278.5,232.44937534033411,-239.43335456088508,128.17385448739563,-249.01252703997048,-91.5715747430323,325.05928917281926,442.24667592331275,-91.5715747430323,366.3727983706233,417.6188657131932,-123.59357610724233,418.7745452178836,432.2459738137712,-197.64821666587895,419.06504869191053,265.11287469338885
16641591.020878766,0.10004924169485484,0.09917814144932825,4316.036804651598,102.65651065051345,102.65651065051345,159.9259986289759,159.9259986289759,282.33147599858654,282.33147599858654,462.09813815616843,462.09813815616843,14.778813948532711,473.309143125252,158.13621940856652,-22.460450344994218,422.1187463747383,461.4256885379544,0.0,523.737,278.5,0.0,423.73699999999997,278.5,232.36162632879893,-230.67366211531063,154.73789529964736,-226.66240105971187,11.492841964941023,316.9874641850984,385.1878570419439,11.492841964941022,385.5206810249256,383.7081817001945,-125.78631250314854,419.0087672259514,430.04288854665106,-189.6975890720742,418.9448010861554,269.4743321390441
44853.97339646293,0.6637297305433878,0.028247659421637563,3002.554831203285,102.02441801876006,102.02441801876006,160.0925040914077,160.0925040914077,267.1772774270433,267.1772774270433,462.0409015760132,462.0409015760132,14.754102667002877,474.1382318659591,158.3374766460247,-22.575935832751092,424.4802379944867,462.36624235765,0.0,523.737,278.5,0.0,423.73699999999997,278.5,190.70265621891448,-237.0120967596387,121.99926630057459,-237.28906646301286,-30.862852984891067,294.4845894383212,449.15728076914996,-30.862852984891077,405.4544241304246,375.9986176428487,-122.75116526284965,426.2333313299266,430.02873254481403,-215.90584799966965,420.21363796437083,153.06873697024434
213434750.48467913,0.19904873618163932,0.11998819353602684,2855.527673455753,100.61814704135836,100.61814704135836,160.07734197098375,160.07734197098375,276.36499864659714,276.36499864659714,462.1536317036968,462.1536317036968,14.776623810147353,473.2377208291326,158.15405665430208,-22.457607524564423,421.92306836937905,461.4025356235416,0.0,523.737,278.5,0.0,423.73699999999997,278.5,219.46925294166545,-93.13959428446643,125.71675679428871,-229.62980657460903,4.623320832543243,339.34571146403346,444.8493154605894,4.623320832543243,412.21172392204573,383.4345836154944,-125.78229716396106,419.52943299620983,431.47270265495365,-183.1356261009659,418.48132766780765,255.06583352392448
485645.25770084216,0.086895449465585,0.06008901847300122,3688.0258964968943,100.75242386179431,100.75242386179431,160.09552898907103,160.09552898907103,281.87519532503137,281.87519532503137,462.20983632281985,462.20983632281985,14.745462435769143,471.41595224140883,158.40784568241003,-22.491692092582774,416.6917087356811,461.68013215333093,0.0,523.737,278.5,0.0,423.73699999999997,278.5,209.7124900574373,-90.0269075298051,147.97178183291115,-231.76182301730202,-36.022978232231,371.14402949253827,457.606500107073,-36.02297823223099,370.90606791392065,429.7346129218794,-124.09125162415037,419.30356697360105,425.88357244659977,-182.4857646882699,419.652625705735,271.6508825457921
122700935.35509242,0.05038764214771527,0.7690648289173512,2825.411859773815,106.14342898832773,106.14342898832773,160.09420562977954,160.09420562977954,227.60384481371187,227.60384481371187,462.44775333002343,462.44775333002343,14.588633376558581,474.20223117146367,159.6851158705942,-22.559020322233224,425.3251417969326,462.2284765799864,0.0,523.737,278.5,0.0,423.73699999999997,278.5,246.95459261360037,-240.9023800663733,100.35388687892396,-241.49983427939023,-30.48316865338301,337.41012969477896,449.23617951743415,-30.483168653383018,374.9389958319499,411.1074033719506,-121.6852069345567,456.1954306657815,432.0415695133479,-195.54127166191364,456.4452443742447,225.94055814883092
79174.01341253701,0.06782043310225078,0.05813065555491439,2971.7032125850155,100.0514404834057,100.0514404834057,160.09905305480726,160.09905305480726,282.29225972576177,282.29225972576177,462.5717936118686,462.5717936118686,14.592278200063426,471.77323302622585,159.6554311653019,-22.645218191928112,418.15479557076617,462.930501892135,0.0,523.737,278.5,0.0,423.73699999999997,278.5,227.6880702762137,-62.13243493294192,154.57498569776882,-232.05429419876722,16.1522058340941,337.89037716797543,423.13119704805064,16.152205834094104,368.928330649336,383.4361899840514,-126.17530180986932,420.062522850959,422.97623223688424,-178.62107394228758,419.59356651341324,268.87219396786736
225707467.10074955,0.2266262998342822,0.5543058193414503,2912.5353907347644,102.40178415228918,102.40178415228918,160.05119520465286,160.05119520465286,237.20761535538853,237.20761535538853,463.57149842677813,463.57149842677813,14.675632633069997,473.15713883798827,158.976563786589,-22.65825235242998,421.8172264497608,463.03665661066003,0.0,523.737,278.5,0.0,423.73699999999997,278.5,122.33097272371441,-170.37349326706905,152.55357386024207,-235.08425067111935,-33.94472717503919,332.05145307225865,447.5280728328452,-33.94472717503919,407.2370652862636,390.52497734457285,-117.18929950208582,451.00434720916377,433.3567837097996,-229.5683347945867,453.752537749982,223.66711318166594
269189357.66597134,0.07762294111497597,0.7853834354483297,3086.1685542571095,114.23267602427573,114.23267602427573,160.0814313433273,160.0814313433273,226.65370112753425,226.65370112753425,462.444084551585,462.444084551585,14.588565739518236,472.5331409176404,159.68566673008212,-22.559231118387167,420.4937309335658,462.2301933768898,0.0,523.737,278.5,0.0,423.73699999999997,278.5,236.4922980664478,-180.00244591336158,108.55735734701051,-120.90977506502597,-24.535133800969504,338.87545278524243,453.60024417786485,-24.535133800969504,370.1810236210565,373.80553352370197,-123.2316602277139,456.1933774946931,430.95499609694303,-216.71063555756444,456.410273385397,225.003053247072
28789517.465485103,3.3305351219460495,1.282171831650586,2758.922875214997,114.50658979420132,114.50658979420132,167.17376933525733,167.17376933525733,269.7672680273231,269.7672680273231,469.2375827244661,469.2375827244661,14.755168034411174,473.1970399964285,158.32879992477845,-22.96133866036754,421.19617852925006,465.50509650007933,0.0,523.737,278.5,0.0,423.73699999999997,278.5,246.9340691977414,-235.05801677678954,129.96393700597437,-237.3913018205318,-42.85285651059502,366.00942081578614,456.64361108529084,-42.85285651059502,401.4937379998637,390.2003423610192,-122.77693551710811,456.2215508614839,433.4321859930083,-227.51926646003955,418.8279514026217,219.71193102201144
