sweep,kind,group,characteristic,column,unit,at_design,min,max,range,at_start,at_end
02_roll,roll,corner,Wheel travel,wheel_travel_left,mm,-6.8120584728603725e-09,-25.00000011235602,24.999999965700965,50.000000078056985,-25.00000011235602,24.999999965700965
02_roll,roll,corner,Damper length,damper_length_left,mm,242.81129770272813,229.9942350062837,255.4757426593598,25.481507653076108,255.4757426593598,229.9942350062837
02_roll,roll,corner,Motion ratio (damper/wheel),motion_ratio_left,mm/mm,0.5094208275875689,0.5040591727537695,0.5160349559642183,0.011975783210448787,0.5040591727537695,0.5160349559642183
02_roll,roll,corner,Motion ratio squared,motion_ratio_sq_left,-,0.2595095795800036,0.2540756496372145,0.26629207577699276,0.012216426139778247,0.2540756496372145,0.26629207577699276
02_roll,roll,corner,"Front-view IC, y",fvic_y_left,mm,-5930.606308347964,-83588.97173289301,-2857.888009824943,80731.08372306806,-83588.97173289301,-2857.888009824943
02_roll,roll,corner,"Front-view IC, z",fvic_z_left,mm,185.0000356746352,-266.69886671188146,12425.815340312503,12692.514207024386,12425.815340312503,-266.69886671188146
02_roll,roll,corner,Front-view swing-arm length,fvsa_length_left,mm,6386.848529957094,3323.451639728629,84957.72222816048,81634.27058843184,84957.72222816048,3323.451639728629
02_roll,roll,corner,"Camber, road-relative",camber_road_left,deg,8.875242809571077e-08,-3.4939866128487886,3.289783407766121,6.783770020614909,3.289783407766121,-3.4939866128487886
02_roll,roll,corner,Camber recovery,camber_recovery_left,deg/deg,-0.07052466914539265,-0.13443811562970243,-0.005851516133059162,0.12858659949664325,-0.005851516133059162,-0.13443811562970243
02_roll,roll,axle,Track,track,mm,907.084,907.084,907.084,0.0,907.084,907.084
02_roll,roll,axle,Track change,track_change,mm,2.997919978042773e-06,-1.561322123250534,2.997919978042773e-06,1.5613251211705121,-1.56131724151453,-1.561322123250534
02_roll,roll,axle,Track change rate,track_change_rate,mm/mm,0.0575388703994922,-0.1761165998413698,0.2956086860763304,0.4717252859177002,0.2956086860763304,-0.1761165998413698
